date,kWh
2021-08-28,758.548
2021-08-29,1130.176
2021-08-30,3978.375
2021-08-31,3256.627
2021-09-01,556.819
2021-09-02,2423.427
2021-09-03,2069.1730000000002
2021-09-04,2523.903
2021-09-05,47.793
2021-09-06,118.999
2021-09-07,704.1289999999999
2021-09-08,1522.716
2021-09-09,1660.3509999999999
2021-09-10,1664.471
2021-09-11,2002.636
2021-09-12,30.682
2021-09-13,25.624
2021-09-14,87.82000000000001
2021-09-15,299.886
2021-09-16,288.429
2021-09-17,710.797
2021-09-18,1075.1009999999999
2021-09-19,1633.3609999999999
2021-09-20,1472.629
2021-09-21,841.988
2021-09-22,1706.964
2021-09-23,430.278
2021-09-24,144.423
2021-09-25,33.370999999999995
2021-09-26,35.306
2021-09-27,10.18
2021-09-28,0.052
2021-09-29,4.702
2021-09-30,10.796
2021-10-01,40.499
2021-10-02,48.805
2021-10-03,117.883
2021-10-04,666.646
2021-10-05,977.26
2021-10-06,1358.534
2021-10-07,762.9110000000001
2021-10-08,32.93
2021-10-09,96.261
2021-10-10,190.886
2021-10-11,210.686
2021-10-12,242.922
2021-10-13,295.236
2021-10-14,339.022
2021-10-15,368.692
2021-10-16,656.357
2021-10-17,672.732
2021-10-18,1052.155
2021-10-19,477.273
2021-10-20,1121.323
2021-10-21,992.453
2021-10-22,1512.308
2021-10-23,1266.329
2021-10-24,570.033
2021-10-25,331.952
2021-10-26,331.599
2021-10-27,106.964
2021-10-28,294.287
2021-10-29,161.73
2021-10-30,171.582
2021-10-31,140.495
2021-11-01,231.927
2021-11-02,97.604
2021-11-03,200.935
2021-11-04,97.539
2021-11-05,56.851
2021-11-06,118.885
2021-11-07,2185.206
2021-11-08,3029.873
2021-11-09,1049.141
2021-11-10,1854.142
2021-11-11,3439.624
2021-11-12,2171.373
2021-11-13,3031.1749999999997
2021-11-14,1848.75
2021-11-15,1208.096
2021-11-16,2020.4
2021-11-17,3355.048
2021-11-18,1032.353
2021-11-19,644.973
2021-11-20,1093.264
2021-11-21,815.428
2021-11-22,1265.8410000000001
2021-11-23,2945.71
2021-11-24,4556.7789999999995
2021-11-25,57.366
2021-11-26,391.932
2021-11-27,3944.437
2021-11-28,3290.059
2021-11-29,2962.2110000000002
2021-11-30,2989.044
2021-12-01,4293.731
2021-12-02,4860.049
2021-12-03,4382.803
2021-12-04,4447.422
2021-12-05,828.353
2021-12-06,4260.091
2021-12-07,6699.714
2021-12-08,2285.221
2021-12-09,5815.27
2021-12-10,3934.963
2021-12-11,2184.375
2021-12-12,4931.7390000000005
2021-12-13,4351.374
2021-12-14,6743.764
2021-12-15,5438.697
2021-12-16,2369.247
2021-12-17,6362.2300000000005
2021-12-18,6010.861
2021-12-19,7180.3859999999995
2021-12-20,6040.032
2021-12-21,5353.093
2021-12-22,7863.562
2021-12-23,360.79
2021-12-24,2465.797
2021-12-25,6937.421
2021-12-26,2542.967
2021-12-27,1897.642
2021-12-28,5917.841
2021-12-29,954.616
2021-12-30,282.539
2021-12-31,2120.474
2022-01-01,5443.272
2022-01-02,6760.724999999999
2022-01-03,1355.105
2022-01-04,3049.737
2022-01-05,7733.650000000001
2022-01-06,7355.216
2022-01-07,7522.588
2022-01-08,6843.798
2022-01-09,2250.535
2022-01-10,7379.887
2022-01-11,9542.204
2022-01-12,8469.88
2022-01-13,1883.175
2022-01-14,4151.641
2022-01-15,723.692
2022-01-16,2629.403
2022-01-17,4543.761
2022-01-18,2228.101
2022-01-19,1002.826
2022-01-20,8034.054
2022-01-21,1091.776
2022-01-22,8092.329
2022-01-23,2641.332
2022-01-24,8432.369
2022-01-25,8793.797
2022-01-26,1649.158
2022-01-27,2626.602
2022-01-28,4178.747
2022-01-29,9103.272
2022-01-30,4193.005
2022-01-31,3721.904
2022-02-01,10469.226
2022-02-02,5596.357
2022-02-03,4680.59
2022-02-04,10128.257
2022-02-05,9772.222
2022-02-06,9848.65
2022-02-07,7915.737
2022-02-08,7190.268
2022-02-09,10143.286
2022-02-10,8028.276
2022-02-11,10189.451000000001
2022-02-12,8131.392
2022-02-13,9402.591
2022-02-14,8256.383
2022-02-15,5167.084
2022-02-16,8968.258
2022-02-17,9968.376
2022-02-18,5533.438
2022-02-19,3200.364
2022-02-20,10418.536
2022-02-21,6097.1849999999995
2022-02-22,4562.822
2022-02-23,2916.785
2022-02-24,5470.245
2022-02-25,5499.009
2022-02-26,4951.016
2022-02-27,5759.642
2022-02-28,10133.348
2022-03-01,10880.65
2022-03-02,8993.195
2022-03-03,10217.511
2022-03-04,7589.501
2022-03-05,6708.0
2022-03-06,3122.244
2022-03-07,1433.512
2022-03-08,932.652
2022-03-09,2348.13
2022-03-10,5996.056
2022-03-11,9492.112
2022-03-12,6313.155
2022-03-13,7978.017
2022-03-14,10100.079
2022-03-15,9561.033
2022-03-16,10178.18
2022-03-17,9852.652
2022-03-18,2848.991
2022-03-19,7368.479
2022-03-20,8825.195
2022-03-21,11143.368
2022-03-22,8594.445
2022-03-23,8655.45
2022-03-24,6642.062
2022-03-25,3033.325
2022-03-26,8631.699
